Data,Wartosc
2010-01-01,4.32
2010-01-07,4.41
2010-01-14,4.38
2010-01-21,4.36
2010-01-28,4.39
2010-02-05,4.36
2010-02-12,4.35
2010-02-19,4.4
2010-02-25,4.39
2010-03-05,4.45
2010-03-11,4.5
2010-03-18,4.5
2010-03-25,4.57
2010-04-01,4.56
2010-04-08,4.61
2010-04-15,4.6
2010-04-23,4.65
2010-04-29,4.66
2010-05-06,4.72
2010-05-14,4.75
2010-05-21,4.71
2010-05-26,4.69
2010-06-03,4.67
2010-06-17,4.75
2010-06-24,4.72
2010-07-01,4.74
2010-07-08,4.7
2010-07-16,4.67
2010-07-22,4.66
2010-07-30,4.63
2010-08-05,4.6
2010-08-12,4.58
2010-08-19,4.56
2010-08-26,4.55
2010-09-02,4.54
2010-09-09,4.57
2010-09-16,4.57
2010-09-23,4.54
2010-09-30,4.58
2010-10-07,4.54
2010-10-14,4.57
2010-10-21,4.59
2010-10-28,4.57
2010-11-02,4.55
2010-11-11,4.59
2010-11-18,4.61
2010-11-25,4.67
2010-12-02,4.78
2010-12-09,4.86
2010-12-16,4.88
2010-12-23,4.86
2010-12-29,4.93
2010-12-30,4.92
2011-01-06,4.91
2011-01-13,4.88
2011-01-20,4.87
2011-01-27,4.83
2011-02-03,4.82
2011-02-10,4.81
2011-02-17,4.85
2011-02-24,4.9
2011-03-03,4.98
2011-03-10,5.03
2011-03-17,5.04
2011-03-24,5.09
2011-03-31,5.13
2011-04-07,5.16
2011-04-13,5.16
2011-04-21,5.17
2011-04-28,5.17
2011-05-05,5.18
2011-05-12,5.17
2011-05-19,5.16
2011-05-26,5.15
2011-06-02,5.14
2011-06-09,5.13
2011-06-14,5.1
2011-06-23,5.07
2011-06-30,5.06
2011-07-07,5.12
2011-07-21,5.29
2011-07-28,5.28
2011-08-04,5.21
2011-08-11,5.14
2011-08-19,5.05
2011-08-26,5.04
2011-09-02,5.06
2011-09-09,5.17
2011-09-16,5.22
2011-09-23,5.23
2011-09-30,5.2
2011-10-07,5.23
2011-10-14,5.32
2011-10-21,5.35
2011-10-28,5.35
2011-11-04,5.39
2011-11-11,5.42
2011-11-18,5.42
2011-11-24,5.42
2011-12-01,5.44
2011-12-08,5.46
2011-12-15,5.46
2011-12-23,5.47
2011-12-30,5.49
2012-01-06,5.6
2012-01-13,5.63
2012-01-20,5.62
2012-01-27,5.61
2012-02-03,5.61
2012-02-10,5.62
2012-02-17,5.64
2012-02-24,5.67
2012-03-02,5.69
2012-03-09,5.75
2012-03-16,5.81
2012-03-23,5.83
2012-03-30,5.87
2012-04-06,5.89
2012-04-13,5.89
2012-04-20,5.88
2012-04-27,5.87
2012-05-04,5.86
2012-05-11,5.85
2012-05-18,5.84
2012-05-25,5.83
2012-06-01,5.83
2012-06-08,5.81
2012-06-15,5.79
2012-06-22,5.67
2012-06-29,5.64
2012-07-06,5.64
2012-07-13,5.64
2012-07-20,5.66
2012-07-27,5.66
2012-08-03,5.66
2012-08-10,5.72
2012-08-17,5.85
2012-08-24,5.82
2012-08-31,5.84
2012-09-07,5.88
2012-09-14,5.87
2012-09-21,5.86
2012-09-28,5.85
2012-10-05,5.84
2012-10-12,5.84
2012-10-19,5.78
2012-10-26,5.71
2012-11-02,5.61
2012-11-09,5.58
2012-11-16,5.56
2012-11-23,5.54
2012-11-30,5.53
2012-12-07,5.5
2012-12-14,5.47
2012-12-21,5.45
2012-12-28,5.43
2013-01-04,5.42
2013-01-11,5.41
2013-01-18,5.4
2013-01-25,5.42
2013-02-01,5.46
2013-02-08,5.54
2013-02-15,5.62
2013-02-22,5.67
2013-03-01,5.65
2013-03-08,5.63
2013-03-15,5.61
2013-03-22,5.63
2013-03-30,5.65
2013-04-06,5.62
2013-04-12,5.57
2013-04-19,5.5
2013-04-25,5.41
2013-05-03,5.35
2013-05-10,5.33
2013-05-17,5.37
2013-05-22,5.36
2013-05-30,5.41
2013-06-07,5.42
2013-06-14,5.43
2013-06-19,5.45
2013-06-28,5.46
2013-07-05,5.55
2013-07-12,5.64
2013-07-19,5.64
2013-07-26,5.61
2013-08-02,5.6
2013-08-09,5.59
2013-08-16,5.58
2013-08-23,5.61
2013-08-30,5.65
2013-09-06,5.71
2013-09-13,5.69
2013-09-20,5.61
2013-09-27,5.56
2013-10-04,5.53
2013-10-11,5.49
2013-10-18,5.47
2013-10-25,5.41
2013-11-01,5.36
2013-11-08,5.34
2013-11-15,5.33
2013-11-22,5.33
2013-11-29,5.37
2013-12-06,5.37
2013-12-13,5.34
2013-12-27,5.33
2014-01-03,5.32
2014-01-10,5.3
2014-01-17,5.29
2014-01-24,5.32
2014-01-31,5.34
2014-02-07,5.32
2014-02-14,5.31
2014-02-21,5.35
2014-02-28,5.38
2014-03-07,5.36
2014-03-14,5.34
2014-03-21,5.32
2014-03-28,5.32
2014-04-04,5.31
2014-04-11,5.32
2014-04-18,5.39
2014-04-25,5.38
2014-05-02,5.37
2014-05-09,5.36
2014-05-16,5.35
2014-05-22,5.3
2014-05-29,5.34
2014-06-05,5.33
2014-06-13,5.42
2014-06-20,5.49
2014-06-28,5.49
2014-07-04,5.48
2014-07-11,5.47
2014-07-18,5.45
2014-07-25,5.42
2014-08-01,5.41
2014-08-08,5.4
2014-08-15,5.38
2014-08-22,5.36
2014-08-29,5.34
2014-09-05,5.33
2014-09-12,5.32
2014-09-19,5.29
2014-09-26,5.32
2014-10-03,5.29
2014-10-10,5.26
2014-10-17,5.19
2014-10-24,5.14
2014-10-31,5.1
2014-11-07,5.07
2014-11-14,5.01
2014-11-21,4.96
2014-11-28,4.89
2014-12-05,4.79
2014-12-12,4.69
2014-12-19,4.63
2014-12-26,4.58
2015-01-02,4.51
2015-01-09,4.43
2015-01-16,4.36
2015-01-23,4.3
2015-01-30,4.32
2015-02-06,4.41
2015-02-13,4.49
2015-02-20,4.53
2015-02-27,4.59
2015-03-06,4.66
2015-03-13,4.65
2015-03-20,4.64
2015-03-26,4.67
2015-04-02,4.67
2015-04-09,4.71
2015-04-16,4.77
2015-04-23,4.77
2015-04-30,4.79
2015-05-07,4.79
2015-05-14,4.79
2015-05-21,4.87
2015-05-27,4.91
2015-06-04,4.9
2015-06-11,4.96
2015-06-19,4.95
2015-06-25,4.98
2015-07-02,5.06
2015-07-09,5.06
2015-07-16,5.03
2015-07-24,4.99
2015-07-30,4.94
2015-08-06,4.91
2015-08-13,4.86
2015-08-20,4.77
2015-08-27,4.7
2015-09-03,4.65
2015-09-10,4.59
2015-09-17,4.54
2015-09-24,4.5
2015-10-01,4.47
2015-10-08,4.44
2015-10-15,4.4
2015-10-22,4.37
2015-10-29,4.42
2015-11-05,4.45
2015-11-12,4.41
2015-11-19,4.37
2015-11-26,4.39
2015-12-03,4.34
2015-12-10,4.26
2015-12-16,4.22
2015-12-23,4.18
2015-12-31,4.15
2016-01-07,4.1
2016-01-14,4.04
2016-01-21,4.02
2016-01-28,4.01
2016-02-04,3.98
2016-02-11,3.97
2016-02-18,3.93
2016-02-25,3.94
2016-03-03,4.01
2016-03-10,4.05
2016-03-17,4.09
2016-03-24,4.15
2016-03-31,4.15
2016-04-07,4.2
2016-04-14,4.24
2016-04-21,4.31
2016-04-28,4.38
2016-05-05,4.4
2016-05-12,4.45
2016-05-18,4.52
2016-05-26,4.55
2016-06-02,4.53
2016-06-09,4.52
2016-06-16,4.49
2016-06-23,4.49
2016-06-30,4.46
2016-07-07,4.43
2016-07-14,4.39
2016-07-21,4.34
2016-07-28,4.32
2016-08-04,4.28
2016-08-11,4.32
2016-08-18,4.38
2016-08-25,4.46
2016-09-01,4.44
2016-09-08,4.44
2016-09-15,4.42
2016-09-22,4.39
2016-09-29,4.49
2016-10-06,4.53
2016-10-13,4.55
2016-10-20,4.58
2016-10-27,4.55
2016-11-03,4.5
2016-11-10,4.46
2016-11-17,4.52
2016-11-24,4.56
2016-12-01,4.68
2016-12-08,4.72
2016-12-15,4.76
2016-12-22,4.79
2016-12-29,4.77
2017-01-05,4.74
2017-01-12,4.75
2017-01-19,4.71
2017-01-26,4.73
2017-02-02,4.71
2017-02-09,4.76
2017-02-16,4.79
2017-02-23,4.75
2017-03-02,4.73
2017-03-09,4.67
2017-03-16,4.61
2017-03-23,4.57
2017-03-30,4.58
2017-04-06,4.67
2017-04-13,4.71
2017-04-20,4.68
2017-04-27,4.65
2017-05-04,4.59
2017-05-11,4.54
2017-05-18,4.51
2017-05-25,4.47
2017-06-01,4.44
2017-06-07,4.41
2017-06-15,4.37
2017-06-22,4.35
2017-06-29,4.37
2017-07-06,4.36
2017-07-13,4.35
2017-07-20,4.39
2017-07-27,4.43
2017-08-03,4.45
2017-08-10,4.43
2017-08-17,4.46
2017-08-24,4.48
2017-08-31,4.58
2017-09-07,4.62
2017-09-14,4.6
2017-09-21,4.63
2017-09-28,4.61
2017-10-05,4.58
2017-10-12,4.56
2017-10-19,4.58
2017-10-26,4.62
2017-11-02,4.73
2017-11-09,4.73
2017-11-16,4.7
2017-11-23,4.68
2017-11-30,4.66
2017-12-07,4.68
2017-12-14,4.7
2017-12-21,4.69
2017-12-28,4.68
2018-01-04,4.7
2018-01-11,4.73
2018-01-18,4.7
2018-01-25,4.69
2018-02-01,4.67
2018-02-08,4.64
2018-02-15,4.6
2018-02-22,4.63
2018-03-01,4.61
2018-03-08,4.58
2018-03-15,4.67
2018-03-21,4.72
2018-03-29,4.71
2018-04-05,4.76
2018-04-12,4.79
2018-04-19,4.84
2018-04-25,4.89
2018-05-03,4.99
2018-05-10,5.07
2018-05-17,5.14
2018-05-23,5.14
2018-05-31,5.12
2018-06-07,5.07
2018-06-14,5.03
2018-06-21,5.02
2018-06-28,5.05
2018-07-05,5.12
2018-07-12,5.09
2018-07-19,5.08
2018-07-26,5.09
2018-08-02,5.09
2018-08-09,5.08
2018-08-16,5.09
2018-08-23,5.1
2018-08-30,5.11
2018-09-06,5.11
2018-09-13,5.12
2018-09-20,5.12
2018-09-27,5.11
2018-10-04,5.13
2018-10-11,5.12
2018-10-18,5.12
2018-10-24,5.08
2018-11-01,5.08
2018-11-08,5.06
2018-11-15,5.05
2018-11-22,4.97
2018-11-29,4.89
2018-12-06,4.85
2018-12-13,4.85
2018-12-20,4.84
2018-12-27,4.8
2019-01-03,4.78
2019-01-10,4.76
2019-01-17,4.79
2019-01-24,4.78
2019-01-31,4.79
2019-02-07,4.77
2019-02-14,4.74
2019-02-21,4.73
2019-02-28,4.79
2019-03-07,4.79
2019-03-14,4.84
2019-03-21,4.98
2019-03-28,5.06
2019-04-04,5.12
2019-04-11,5.2
2019-04-18,5.2
2019-04-25,5.22
2019-05-02,5.22
2019-05-09,5.23
2019-05-16,5.27
2019-05-23,5.27
2019-05-30,5.26
2019-06-06,5.24
2019-06-12,5.21
2019-06-20,5.16
2019-06-27,5.16
2019-07-04,5.16
2019-07-11,5.17
2019-07-18,5.16
2019-07-25,5.17
2019-08-01,5.14
2019-08-07,5.11
2019-08-15,5.09
2019-08-22,5.06
2019-08-29,5.01
2019-09-05,4.99
2019-09-12,4.98
2019-09-19,4.97
2019-09-26,4.97
2019-10-03,4.94
2019-10-10,4.94
2019-10-17,4.93
2019-10-24,4.92
2019-10-31,4.92
2019-11-07,4.92
2019-11-14,4.92
2019-11-21,4.95
2019-11-28,4.95
2019-12-05,4.94
2019-12-12,4.94
2019-12-20,4.97
2019-12-26,4.97
2020-01-02,4.99
2020-01-09,4.97
2020-01-16,4.96
2020-01-23,4.93
2020-01-30,4.92
2020-02-06,4.92
2020-02-13,4.9
2020-02-20,4.87
2020-02-27,4.82
2020-03-05,4.74
2020-03-12,4.52
2020-03-19,4.31
2020-03-26,4.2
2020-04-02,4.12
2020-04-09,4.07
2020-04-16,4.01
2020-04-23,3.94
2020-04-30,3.89
2020-05-07,3.92
2020-05-14,4.03
2020-05-21,4.09
2020-05-28,4.11
2020-06-03,4.17
